,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,month,year,day
35,2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,276,Thursday,2014-02,2014,2014-02-06
36,2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,Friday,2014-02,2014,2014-02-07
37,2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,Saturday,2014-02,2014,2014-02-08
38,2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,276,Sunday,2014-02,2014,2014-02-09
39,2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday,2014-02,2014,2014-02-10
40,2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,Tuesday,2014-02,2014,2014-02-11
41,2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,Wednesday,2014-02,2014,2014-02-12
42,2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,276,Thursday,2014-02,2014,2014-02-13
43,2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,276,Friday,2014-02,2014,2014-02-14
44,2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,276,Saturday,2014-02,2014,2014-02-15
45,2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,276,Sunday,2014-02,2014,2014-02-16
46,2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,Monday,2014-02,2014,2014-02-17
47,2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,276,Tuesday,2014-02,2014,2014-02-18
48,2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,276,Wednesday,2014-02,2014,2014-02-19
49,2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,276,Thursday,2014-02,2014,2014-02-20
50,2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,276,Friday,2014-02,2014,2014-02-21
51,2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,276,Saturday,2014-02,2014,2014-02-22
52,2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,276,Sunday,2014-02,2014,2014-02-23
53,2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,276,Monday,2014-02,2014,2014-02-24
54,2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,Tuesday,2014-02,2014,2014-02-25
55,2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,276,Wednesday,2014-02,2014,2014-02-26
56,2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,276,Thursday,2014-02,2014,2014-02-27
57,2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,276,Friday,2014-02,2014,2014-02-28
58,2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,Saturday,2014-03,2014,2014-03-01
59,2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,276,Sunday,2014-03,2014,2014-03-02
60,2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,276,Monday,2014-03,2014,2014-03-03
61,2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,276,Tuesday,2014-03,2014,2014-03-04
62,2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,276,Wednesday,2014-03,2014,2014-03-05
63,2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,276,Thursday,2014-03,2014,2014-03-06
64,2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,276,Friday,2014-03,2014,2014-03-07
65,2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,276,Saturday,2014-03,2014,2014-03-08
66,2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,276,Sunday,2014-03,2014,2014-03-09
67,2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,276,Monday,2014-03,2014,2014-03-10
68,2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,276,Tuesday,2014-03,2014,2014-03-11
69,2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,276,Wednesday,2014-03,2014,2014-03-12
70,2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,276,Thursday,2014-03,2014,2014-03-13
71,2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,276,Friday,2014-03,2014,2014-03-14
72,2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,Saturday,2014-03,2014,2014-03-15
73,2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,276,Sunday,2014-03,2014,2014-03-16
74,2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,276,Monday,2014-03,2014,2014-03-17
75,2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,276,Tuesday,2014-03,2014,2014-03-18
76,2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,276,Wednesday,2014-03,2014,2014-03-19
77,2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,276,Thursday,2014-03,2014,2014-03-20
78,2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,276,Friday,2014-03,2014,2014-03-21
79,2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,276,Saturday,2014-03,2014,2014-03-22
80,2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,276,Sunday,2014-03,2014,2014-03-23
81,2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,276,Monday,2014-03,2014,2014-03-24
82,2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,276,Tuesday,2014-03,2014,2014-03-25
83,2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,276,Wednesday,2014-03,2014,2014-03-26
84,2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,276,Thursday,2014-03,2014,2014-03-27
85,2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,276,Friday,2014-03,2014,2014-03-28
86,2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,276,Saturday,2014-03,2014,2014-03-29
87,2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,276,Sunday,2014-03,2014,2014-03-30
88,2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,276,Monday,2014-03,2014,2014-03-31
89,2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,Tuesday,2014-04,2014,2014-04-01
90,2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,Wednesday,2014-04,2014,2014-04-02
91,2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,Thursday,2014-04,2014,2014-04-03
92,2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,Friday,2014-04,2014,2014-04-04
93,2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,Saturday,2014-04,2014,2014-04-05
94,2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,Sunday,2014-04,2014,2014-04-06
95,2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,Monday,2014-04,2014,2014-04-07
96,2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,Tuesday,2014-04,2014,2014-04-08
97,2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,Wednesday,2014-04,2014,2014-04-09
98,2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,Thursday,2014-04,2014,2014-04-10
99,2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,Friday,2014-04,2014,2014-04-11
100,2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,Saturday,2014-04,2014,2014-04-12
101,2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,Sunday,2014-04,2014,2014-04-13
102,2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,Monday,2014-04,2014,2014-04-14
103,2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,Tuesday,2014-04,2014,2014-04-15
104,2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,Wednesday,2014-04,2014,2014-04-16
105,2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,Thursday,2014-04,2014,2014-04-17
106,2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,Friday,2014-04,2014,2014-04-18
107,2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,Saturday,2014-04,2014,2014-04-19
108,2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,Sunday,2014-04,2014,2014-04-20
109,2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,Monday,2014-04,2014,2014-04-21
110,2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,Tuesday,2014-04,2014,2014-04-22
111,2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,Wednesday,2014-04,2014,2014-04-23
112,2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,Thursday,2014-04,2014,2014-04-24
113,2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,Friday,2014-04,2014,2014-04-25
114,2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,Saturday,2014-04,2014,2014-04-26
115,2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,Sunday,2014-04,2014,2014-04-27
116,2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,Monday,2014-04,2014,2014-04-28
117,2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,Tuesday,2014-04,2014,2014-04-29
118,2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,Wednesday,2014-04,2014,2014-04-30
119,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,276,Thursday,2014-05,2014,2014-05-01
120,2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,276,Friday,2014-05,2014,2014-05-02
121,2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,276,Saturday,2014-05,2014,2014-05-03
122,2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,276,Sunday,2014-05,2014,2014-05-04
123,2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,276,Monday,2014-05,2014,2014-05-05
124,2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,276,Tuesday,2014-05,2014,2014-05-06
125,2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,276,Wednesday,2014-05,2014,2014-05-07
126,2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,276,Thursday,2014-05,2014,2014-05-08
127,2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,276,Friday,2014-05,2014,2014-05-09
128,2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,276,Saturday,2014-05,2014,2014-05-10
129,2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,276,Sunday,2014-05,2014,2014-05-11
130,2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,276,Monday,2014-05,2014,2014-05-12
131,2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,276,Tuesday,2014-05,2014,2014-05-13
132,2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,276,Wednesday,2014-05,2014,2014-05-14
133,2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,276,Thursday,2014-05,2014,2014-05-15
134,2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,276,Friday,2014-05,2014,2014-05-16
135,2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,276,Saturday,2014-05,2014,2014-05-17
136,2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,276,Sunday,2014-05,2014,2014-05-18
137,2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,276,Monday,2014-05,2014,2014-05-19
138,2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,276,Tuesday,2014-05,2014,2014-05-20
139,2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,276,Wednesday,2014-05,2014,2014-05-21
140,2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,276,Thursday,2014-05,2014,2014-05-22
141,2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,276,Friday,2014-05,2014,2014-05-23
142,2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,276,Saturday,2014-05,2014,2014-05-24
143,2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,276,Sunday,2014-05,2014,2014-05-25
144,2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,276,Monday,2014-05,2014,2014-05-26
145,2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,276,Tuesday,2014-05,2014,2014-05-27
146,2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,276,Wednesday,2014-05,2014,2014-05-28
147,2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,276,Thursday,2014-05,2014,2014-05-29
148,2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,276,Friday,2014-05,2014,2014-05-30
149,2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,276,Saturday,2014-05,2014,2014-05-31
150,2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,Sunday,2014-06,2014,2014-06-01
151,2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,Monday,2014-06,2014,2014-06-02
152,2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,Tuesday,2014-06,2014,2014-06-03
153,2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,Wednesday,2014-06,2014,2014-06-04
154,2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,Thursday,2014-06,2014,2014-06-05
155,2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,Friday,2014-06,2014,2014-06-06
156,2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,Saturday,2014-06,2014,2014-06-07
157,2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,Sunday,2014-06,2014,2014-06-08
158,2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,Monday,2014-06,2014,2014-06-09
159,2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,Tuesday,2014-06,2014,2014-06-10
160,2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,Wednesday,2014-06,2014,2014-06-11
161,2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,Thursday,2014-06,2014,2014-06-12
162,2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,Friday,2014-06,2014,2014-06-13
163,2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,Saturday,2014-06,2014,2014-06-14
164,2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,Sunday,2014-06,2014,2014-06-15
165,2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,Monday,2014-06,2014,2014-06-16
166,2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,Tuesday,2014-06,2014,2014-06-17
167,2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,Wednesday,2014-06,2014,2014-06-18
168,2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,Thursday,2014-06,2014,2014-06-19
169,2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,Friday,2014-06,2014,2014-06-20
170,2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,Saturday,2014-06,2014,2014-06-21
171,2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,Sunday,2014-06,2014,2014-06-22
172,2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,Monday,2014-06,2014,2014-06-23
173,2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday,2014-06,2014,2014-06-24
174,2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,276,Wednesday,2014-06,2014,2014-06-25
175,2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday,2014-06,2014,2014-06-26
176,2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,276,Friday,2014-06,2014,2014-06-27
177,2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,276,Saturday,2014-06,2014,2014-06-28
178,2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,276,Sunday,2014-06,2014,2014-06-29
179,2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,276,Monday,2014-06,2014,2014-06-30
180,2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,276,Tuesday,2014-07,2014,2014-07-01
181,2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,276,Wednesday,2014-07,2014,2014-07-02
182,2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,276,Thursday,2014-07,2014,2014-07-03
183,2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,276,Friday,2014-07,2014,2014-07-04
184,2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,276,Saturday,2014-07,2014,2014-07-05
185,2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,276,Sunday,2014-07,2014,2014-07-06
186,2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,276,Monday,2014-07,2014,2014-07-07
187,2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,276,Tuesday,2014-07,2014,2014-07-08
188,2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,276,Wednesday,2014-07,2014,2014-07-09
189,2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday,2014-07,2014,2014-07-10
190,2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,276,Friday,2014-07,2014,2014-07-11
191,2014-07-12,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday,2014-07,2014,2014-07-12
192,2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,276,Sunday,2014-07,2014,2014-07-13
193,2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,276,Monday,2014-07,2014,2014-07-14
194,2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,276,Tuesday,2014-07,2014,2014-07-15
195,2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,276,Wednesday,2014-07,2014,2014-07-16
196,2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,276,Thursday,2014-07,2014,2014-07-17
197,2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,276,Friday,2014-07,2014,2014-07-18
198,2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,276,Saturday,2014-07,2014,2014-07-19
199,2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,276,Sunday,2014-07,2014,2014-07-20
200,2014-07-21,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,276,Monday,2014-07,2014,2014-07-21
201,2014-07-22,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,276,Tuesday,2014-07,2014,2014-07-22
202,2014-07-23,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,276,Wednesday,2014-07,2014,2014-07-23
203,2014-07-24,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,276,Thursday,2014-07,2014,2014-07-24
